Name,Type,Description,Visible,Title,Importance,Lens id,Journal,Date,Node size,Link
53-0.05,Old,125-0.05,,Adenovirus-mediated expression of the C-terminal domain of SARS-CoV spike protein is sufficient to induce apoptosis in Vero E6 cells.,0.05,092-293-801-133-129,FEBS Letters,2018-05-12,0.5,
54-0.05,Old,126-0.05,,Pulmonary pathological features in coronavirus associated severe acute respiratory syndrome (SARS),0.05,014-515-411-569-375,Journal of Clinical Pathology,2018-05-12,0.5,
55-0.05,Old,127-0.05,,Characterization of a Unique Group-Specific Protein (U122) of the Severe Acute Respiratory Syndrome Coronavirus,0.05,012-801-657-103-406,Journal of Virology,2018-05-12,0.5,
56-0.05,Old,128-0.05,,Severe acute respiratory syndrome coronavirus protein 7a interacts with hSGT,0.05,105-476-160-932-984,Biochemical and Biophysical Research Communications,2018-05-12,0.5,
57-0.05,Old,129-0.05,,"Nowcasting and forecasting the potential domestic and international spread of the 2019-nCoV outbreak originating in Wuhan, China: a modelling study",0.05,063-014-267-382-902,The Lancet,2020-02-06,0.5,
58-0.05,Old,130-0.05,,"Engineering a Replication-Competent, Propagation-Defective Middle East Respiratory Syndrome Coronavirus as a Vaccine Candidate",0.05,057-127-923-286-534,Mbio,2018-05-12,0.5,
59-0.05,Old,131-0.05,,SARS-associated coronavirus.,0.05,156-410-219-615-528,The New England Journal of Medicine,2018-05-12,0.5,
6-0.05,Old,132-0.05,,Ribavirin and interferon therapy in patients infected with the Middle East respiratory syndrome coronavirus: an observational study.,0.05,073-663-856-907-01X,International Journal of Infectious Diseases,2018-05-12,0.5,
61-0.05,Old,133-0.05,,Genomic Characterisation and Epidemiology of 2019 Novel Coronavirus: Implications for Virus Origins and Receptor Binding,0.05,024-982-561-486-693,The Lancet,2020-02-06,0.5,
62-0.05,Old,134-0.05,,Importation and Human-to-Human Transmission of a Novel Coronavirus in Vietnam,0.05,013-822-140-463-176,The New England Journal of Medicine,2020-02-06,0.5,
63-0.04,Old,135-0.04,,Epidemiological research priorities for public health control of the ongoing global novel coronavirus (2019-nCoV) outbreak,0.04,020-653-905-150-50X,Eurosurveillance,2020-02-21,0.4,
64-0.04,New,136-0.04,,Establishment and validation of a pseudovirus neutralization assay for SARS-CoV-2,0.04,127-859-870-425-756,Emerging Microbes & Infections,2020-03-27,0.4,
65-0.04,New,137-0.04,,Exercising Heart and Head in Managing Coronavirus Disease 2019 in Wuhan,0.04,180-426-932-736-719,JAMA Network Open,2020-03-27,0.4,
66-0.04,New,138-0.04,,Comorbidity and its impact on 1590 patients with Covid-19 in China: A Nationwide Analysis,0.04,044-277-668-258-449,European Respiratory Journal,2020-03-28,0.4,
67-0.04,New,139-0.04,,"Clinical and CT features of early-stage patients with COVID-19: a retrospective analysis of imported cases in Shanghai, China",0.04,159-486-882-997-438,European Respiratory Journal,2020-03-28,0.4,
68-0.04,New,140-0.04,,Disseminated intravascular coagulation in patients with 2019-nCoV pneumonia,0.04,179-813-259-883-819,Journal of Thrombosis and Haemostasis,2020-03-28,0.4,
69-0.04,New,141-0.04,,An Acute Respiratory Infection Runs Into the Most Common Noncommunicable Epidemic—COVID-19 and Cardiovascular Diseases,0.04,195-048-023-868-414,JAMA Cardiology,2020-03-28,0.4,
691-0.04,New,142-0.04,,Renin-Angiotensin System Blockers and the COVID-19 Pandemic,0.04,008-940-459-243-518,Hypertension,2020-03-28,0.4,
692-0.04,New,143-0.04,,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and coronavirus disease-2019 (COVID-19): The epidemic and the challenges,0.04,116-195-781-737-645,International Journal of Antimicrobial Agents,2020-02-21,0.4,
693-0.04,New,144-0.04,,"Severe acute respiratory syndrome-related coronavirus - The species and its viruses, a statement of the Coronavirus Study Group",0.04,144-781-526-712-421,bioRxiv,2020-02-21,0.4,
694-0.04,Old,145-0.04,,Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan,0.04,089-914-905-831-950,Emerging microbes & infections,2020-02-06,0.4,
695-0.04,Old,146-0.04,,Clinical characteristics of 2019 novel coronavirus infection in China,0.04,016-332-382-913-413,medRxiv,2020-02-10,0.4,
696-0.04,Old,147-0.04,,"Incubation period of 2019 novel coronavirus (2019-nCoV) infections among travellers from Wuhan, China, 20–28 January 2020",0.04,083-827-415-697-214,Eurosurveillance,2020-02-07,0.4,
697-0.04,Old,148-0.04,,Profiles of Antibody Responses against Severe Acute Respiratory Syndrome Coronavirus Recombinant Proteins and Their Potential Use as Diagnostic Markers,0.04,027-497-672-107-166,Clinical and Vaccine Immunology,2018-05-12,0.4,
698-0.04,Old,149-0.04,,"The nsp9 replicase protein of SARS-coronavirus, structure and functional insights.",0.04,000-037-106-895-586,Structure,2018-05-11,0.4,
699-0.03,New,150-0.03,,Drug targets for corona virus: A systematic review.,0.03,083-782-614-549-701,Indian journal of pharmacology,2020-03-27,0.3,
7-0.03,New,151-0.03,,"SARS-CoV-2, an evolutionary perspective of interaction with human ACE2 reveals undiscovered amino acids necessary for complex stability",0.03,046-670-017-629-959,,2020-03-27,0.3,
71-0.03,New,152-0.03,,"Epidemiology of Covid-19 in a Long-Term Care Facility in King County, Washington",0.03,006-935-830-131-58X,New England Journal of Medicine,2020-03-29,0.3,
711-0.03,New,153-0.03,,Elevated plasmin(ogen) as a common risk factor for COVID-19 susceptibility,0.03,131-524-848-495-731,Physiological Reviews,2020-03-29,0.3,
712-0.03,New,154-0.03,,Might the many positive COVID19 subjects in Italy have been caused by resident bat-derived zoonotic β-coronaviruses instead of the Wuhan (China) outbreak?,0.03,036-019-105-167-269,Journal of Medical Virology,2020-03-29,0.3,
713-0.03,Old,155-0.03,,Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,0.03,075-567-610-028-19X,JAMA,2020-03-05,0.3,
714-0.03,Old,156-0.03,,Coronavirus Disease 2019 (COVID-19): A Perspective from China,0.03,039-203-752-503-619,Radiology,2020-02-25,0.3,
715-0.03,Old,157-0.03,,Is the discovery of the novel human betacoronavirus 2c EMC/2012 (HCoV-EMC) the beginning of another SARS-like pandemic?,0.03,027-359-098-622-423,Journal of Infection,2018-05-11,0.3,
716-0.03,Old,158-0.03,,Chest CT Findings in Coronavirus Disease-19 (COVID-19): Relationship to Duration of Infection,0.03,108-237-285-451-683,Radiology,2020-02-21,0.3,
717-0.03,Old,159-0.03,,Novel Coronavirus Infection in Hospitalized Infants Under 1 Year of Age in China,0.03,054-649-457-055-286,JAMA,2020-02-21,0.3,
718-0.03,Old,160-0.03,,Neutralizing antibody and protective immunity to SARS coronavirus infection of mice induced by a soluble recombinant polypeptide containing an N-terminal segment of the spike glycoprotein.,0.03,016-375-522-782-380,Virology,2018-05-12,0.3,
719-0.03,Old,161-0.03,,Detection of alpha and betacoronaviruses in multiple Iberian bat species,0.03,095-648-497-026-239,Archives of Virology,2018-05-11,0.3,
72-0.03,Old,162-0.03,,A new coronavirus associated with human respiratory disease in China,0.03,005-646-681-950-532,Nature,2020-02-06,0.3,
721-0.03,Old,163-0.03,,Coronavirus HKU1 and Other Coronavirus Infections in Hong Kong,0.03,016-455-765-080-527,Journal of Clinical Microbiology,2018-05-12,0.3,
722-0.03,Old,164-0.03,,Amino Acids 270 to 510 of the Severe Acute Respiratory Syndrome Coronavirus Spike Protein Are Required for Interaction with Receptor,0.03,025-734-705-876-388,Journal of Virology,2018-05-12,0.3,
723-0.02,Old,165-0.02,,Transmission of 2019-nCoV Infection from an Asymptomatic Contact in Germany,0.02,071-164-622-563-358,The New England Journal of Medicine,2020-02-06,0.2,
724-0.02,Old,166-0.02,,"Isolation, quarantine, social distancing and community containment: pivotal role for old-style public health measures in the novel coronavirus (2019-nCoV) outbreak",0.02,001-775-786-655-463,Journal of Travel Medicine,2020-02-10,0.2,
725-0.02,Old,167-0.02,,"The Extent of Transmission of Novel Coronavirus in Wuhan, China, 2020",0.02,148-573-541-549-860,Journal of Clinical Medicine,2020-01-26,0.2,
726-0.02,New,168-0.02,,Performance of radiologists in differentiating COVID-19 from viral pneumonia on chest CT.,0.02,034-462-900-246-779,Radiology,2020-03-23,0.2,
727-0.02,New,169-0.02,,Middle East respiratory syndrome: pathogenesis and therapeutic developments.,0.02,164-806-251-625-292,Future virology,2020-03-27,0.2,
728-0.02,New,170-0.02,,"Public awareness of coronavirus in Al-Jouf region, Saudi Arabia.",0.02,172-529-541-911-841,Zeitschrift fur Gesundheitswissenschaften = Journal of public health,2020-03-27,0.2,
729-0.02,New,171-0.02,,2019 Novel Coronavirus Disease Outbreak and Molecular Genetic Characteristics of Severe Acute Respiratory Syndrome-Coronavirus-2,0.02,085-213-542-828-519,Journal of Bacteriology and Virology,2020-03-27,0.2,
73-0.02,New,172-0.02,,Covid-19 infection and mortality - A physiologist's perspective enlightening clinical features and plausible interventional strategies,0.02,025-219-286-045-101,American Journal of Physiology-Lung Cellular and Molecular Physiology,2020-03-27,0.2,
731-0.02,New,173-0.02,,A unifying structural and functional model of the coronavirus replication organelle: tracking down RNA synthesis,0.02,033-515-491-193-150,,2020-03-28,0.2,
732-0.02,New,174-0.02,,Pharmacologic Treatments and Supportive Care for Middle East Respiratory Syndrome,0.02,043-488-357-579-636,Emerging Infectious Diseases,2020-03-28,0.2,
733-0.02,New,175-0.02,,Antibodies in Infants Born to Mothers With COVID-19 Pneumonia,0.02,056-805-054-199-925,JAMA,2020-03-28,0.2,
734-0.02,New,176-0.02,,Possible Vertical Transmission of SARS-CoV-2 From an Infected Mother to Her Newborn,0.02,186-763-128-363-275,JAMA,2020-03-28,0.2,
735-0.02,New,177-0.02,,"SARS-CoV-2 launches a unique transcriptional signature from in vitro, ex vivo, and in vivo systems",0.02,071-224-276-037-33X,,2020-03-29,0.2,
736-0.02,New,178-0.02,,Factors Associated With Mental Health Outcomes Among Health Care Workers Exposed to Coronavirus Disease 2019.,0.02,134-218-253-393-270,JAMA network open,2020-03-27,0.2,
737-0.02,Old,179-0.02,,COVID-19 in Singapore—Current Experience: Critical Global Issues That Require Attention and Action,0.02,065-585-281-661-352,JAMA,2020-02-21,0.2,
738-0.02,Old,180-0.02,,MERS: Emergence of a novel human coronavirus,0.02,051-316-662-226-422,Current Opinion in Virology,2018-05-12,0.2,
739-0.02,Old,181-0.02,,"Update: Severe respiratory illness associated with Middle East Respiratory Syndrome Coronavirus (MERS-CoV)--worldwide, 2012-2013.",0.02,180-002-157-973-65X,MMWR. Morbidity and mortality weekly report,2018-05-12,0.2,
74-0.02,Old,182-0.02,,"Discovery of a Novel Coronavirus, China Rattus Coronavirus HKU24, from Norway Rats Supports the Murine Origin of Betacoronavirus 1 and Has Implications for the Ancestor of Betacoronavirus Lineage A",0.02,006-283-454-867-356,Journal of Virology,2018-05-12,0.2,
741-0.02,Old,183-0.02,,Disease-specific B cell epitopes for serum antibodies from patients with severe acute respiratory syndrome (SARS) and serologic detection of SARS antibodies by epitope-based peptide antigens,0.02,082-469-428-246-89X,The Journal of Infectious Diseases,2018-05-12,0.2,
742-0.02,Old,184-0.02,,SARS-Associated Viral Hepatitis Caused by a Novel Coronavirus: Report of Three Cases,0.02,068-992-998-074-398,Hepatology,2018-05-12,0.2,
743-0.02,Old,185-0.02,,Pathogenicity of severe acute respiratory coronavirus deletion mutants in hACE-2 transgenic mice,0.02,007-009-570-057-320,Virology,2018-05-11,0.2,
744-0.02,Old,186-0.02,,Bcl-xL inhibits T-cell apoptosis induced by expression of SARS coronavirus E protein in the absence of growth factors,0.02,021-773-586-396-168,Biochemical Journal,2018-05-12,0.2,
745-0.02,Old,187-0.02,,The 8ab protein of SARS-CoV is a luminal ER membrane-associated protein and induces the activation of ATF6,0.02,047-829-707-842-907,Virology,2018-05-11,0.2,
746-0.02,Old,188-0.02,,Identification of a critical neutralization determinant of severe acute respiratory syndrome (SARS)-associated coronavirus: importance for designing SARS vaccines.,0.02,000-625-199-109-353,Virology,2018-05-12,0.2,
747-0.02,Old,189-0.02,,Therapeutic Options for Middle East Respiratory Syndrome Coronavirus (MERS-CoV) – possible lessons from a systematic review of SARS-CoV therapy,0.02,002-808-749-577-966,International Journal of Infectious Diseases,2018-05-12,0.2,
748-0.02,Old,190-0.02,,Transmission Dynamics of 2019 Novel Coronavirus (2019-nCoV),0.02,036-749-023-257-839,bioRxiv,2020-02-06,0.2,
749-0.02,Old,191-0.02,,The SARS coronavirus nucleocapsid protein induces actin reorganization and apoptosis in COS-1 cells in the absence of growth factors,0.02,004-777-809-356-414,Biochemical Journal,2018-05-12,0.2,
75-0.02,Old,192-0.02,,The putative protein 6 of the severe acute respiratory syndrome-associated coronavirus: expression and functional characterization.,0.02,005-719-833-251-787,FEBS Letters,2018-05-12,0.2,
751-0.02,Old,193-0.02,,Analysis of Intraviral Protein-Protein Interactions of the SARS Coronavirus ORFeome,0.02,047-101-302-179-738,PLOS ONE,2018-05-12,0.2,
752-0.02,Old,194-0.02,,A Truncated Receptor-Binding Domain of MERS-CoV Spike Protein Potently Inhibits MERS-CoV Infection and Induces Strong Neutralizing Antibody Responses: Implication for Developing Therapeutics and Vaccines,0.02,003-376-346-248-551,PLOS ONE,2018-05-12,0.2,
753-0.02,Old,195-0.02,,An Animal Model of MERS Produced by Infection of Rhesus Macaques With MERS Coronavirus,0.02,026-713-667-463-710,The Journal of Infectious Diseases,2018-05-12,0.2,
754-0.02,Old,196-0.02,,Enteric involvement of severe acute respiratory syndrome-associated coronavirus infection,0.02,000-810-020-625-388,Gastroenterology,2018-05-12,0.2,
755-0.02,Old,197-0.02,,Correlation of Chest CT and RT-PCR Testing in Coronavirus Disease 2019 (COVID-19) in China: A Report of 1014 Cases,0.02,037-358-764-964-256,Radiology,2020-03-05,0.2,
756-0.01,New,198-0.01,,Radiology Department Preparedness for COVID-19: Radiology Scientific Expert Panel.,0.01,089-388-230-200-706,Radiology,2020-03-23,0.1,
757-0.01,New,199-0.01,,Characteristics and Outcomes of 21 Critically Ill Patients With COVID-19 in Washington State.,0.01,063-682-416-161-489,JAMA,2020-03-23,0.1,
758-0.01,Old,200-0.01,,"Air, Surface Environmental, and Personal Protective Equipment Contamination by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) From a Symptomatic Patient",0.01,045-593-197-891-117,JAMA,2020-03-05,0.1,
759-0.01,Old,201-0.01,,The Many Faces of COVID-19: Spectrum of Imaging Manifestations,0.01,114-927-618-687-527,Radiology: Cardiothoracic Imaging,2020-02-21,0.1,
76-0.01,New,202-0.01,,Novel Coronavirus: What Neuroradiologists as Citizens of the World Need to Know.,0.01,030-751-075-344-373,AJNR. American journal of neuroradiology,2020-03-23,0.1,
761-0.01,New,203-0.01,,Respiratory disease and virus shedding in rhesus macaques inoculated with SARS-CoV-2,0.01,113-694-184-552-930,,2020-03-23,0.1,
762-0.01,Old,204-0.01,,"COVID-19, Australia: Epidemiology Report 5: Reporting week ending 19:00 AEDT 29 February 2020",0.01,066-883-940-279-088,Communicable diseases intelligence,2020-03-05,0.1,
763-0.01,New,205-0.01,,Preparing for a COVID-19 pandemic: a review of operating room outbreak response measures in a large tertiary hospital in Singapore.,0.01,009-515-149-020-940,Canadian journal of anaesthesia = Journal canadien d'anesthesie,2020-03-23,0.1,
764-0.01,New,206-0.01,,Host resilience to emerging coronaviruses.,0.01,007-647-793-640-763,Future virology,2020-03-27,0.1,
765-0.01,New,207-0.01,,"VACCINES FOR COVID-19: PERSPECTIVES, PROSPECTS, AND CHALLENGES BASED ON CANDIDATE SARS, MERS, AND ANIMAL CORONAVIRUS VACCINES",0.01,110-559-186-900-504,European Medical Journal,2020-03-27,0.1,
766-0.01,New,208-0.01,,Longitudinal Assessment of COVID-19 Using a Deep                     Learning–based Quantitative CT Pipeline: Illustration of Two                     Cases,0.01,184-025-848-714-494,Radiology: Cardiothoracic Imaging,2020-03-27,0.1,
767-0.01,New,209-0.01,,Identifying Locations with Possible Undetected Imported Severe Acute Respiratory Syndrome Coronavirus 2 Cases by Using Importation Predictions,0.01,057-102-679-396-924,Emerging Infectious Diseases,2020-03-27,0.1,
768-0.01,New,210-0.01,,Covid-19: local implementation of tracing and testing programmes could enable some schools to reopen,0.01,197-745-255-030-043,BMJ,2020-03-27,0.1,
769-0.01,New,211-0.01,,Dynamic models for Coronavirus Disease 2019 and data analysis,0.01,090-428-102-616-992,Mathematical Methods in the Applied Sciences,2020-03-28,0.1,
77-0.01,New,212-0.01,,Stay Indoors: The Slogan for Nowruz 2020,0.01,007-305-885-862-101,Archives of Neuroscience,2020-03-28,0.1,
771-0.01,New,213-0.01,,"SARS-CoV-2 Transmission in Patients With Cancer at a Tertiary Care Hospital in Wuhan, China",0.01,108-295-930-630-111,JAMA Oncology,2020-03-28,0.1,
772-0.01,New,214-0.01,,"Coronavirus disease (COVID-19) Community Testing Team in Scotland: A 14-day review, 6 to 20 February 2020",0.01,124-523-815-971-780,Eurosurveillance,2020-03-28,0.1,
773-0.01,New,215-0.01,,An Infodemiological Study on Coronavirus (COVID-19) in South Korea: Conversations and Medical News Frames on Twitter (Preprint),0.01,124-537-402-006-242,,2020-03-28,0.1,
774-0.01,New,216-0.01,,The Crystallography of SARS-CoV2 Suggests Its Deactivation,0.01,008-699-355-389-821,Iranian Red Crescent Medical Journal,2020-03-29,0.1,
775-0.01,New,217-0.01,,Covid-19 risks and response in South Asia,0.01,176-649-993-666-72X,BMJ,2020-03-29,0.1,
776-0.01,New,218-0.01,,"Asymptomatic and Presymptomatic SARS-CoV-2 Infections in Residents of a Long-Term Care Skilled Nursing Facility — King County, Washington, March 2020",0.01,061-949-590-012-38X,MMWR. Morbidity and Mortality Weekly Report,2020-03-29,0.1,
777-0.01,New,219-0.01,,The value of mitigating epidemic peaks of COVID-19 for more effective public health responses,0.01,198-341-983-670-722,Revista da Sociedade Brasileira de Medicina Tropical,2020-03-30,0.1,
778-0.01,New,220-0.01,,"The origin, transmission and clinical therapies on coronavirus disease 2019 (COVID-19) outbreak - an update on the status.",0.01,018-684-021-973-690,Military Medical Research,2020-03-23,0.1,
779-0.01,Old,221-0.01,,The Struggle Against MERS-CoV (The Novel Coronavirus),0.01,023-796-174-547-198,Oman Medical Journal,2018-05-12,0.1,
78-0.01,New,222-0.01,,Cardiovascular Implications of Fatal Outcomes of Patients With Coronavirus Disease 2019 (COVID-19),0.01,066-394-035-208-821,JAMA Cardiology,2020-03-29,0.1,
79-0.01,New,223-0.01,,Chest CT Findings in Cases from the Cruise Ship “Diamond                     Princess” with Coronavirus Disease 2019 (COVID-19),0.01,154-685-517-116-380,Radiology: Cardiothoracic Imaging,2020-03-23,0.1,
80-0.01,Old,224-0.01,,Incubation Period and Other Epidemiological Characteristics of 2019 Novel Coronavirus Infections with Right Truncation: A Statistical Analysis of Publicly Available Case Data,0.01,048-116-587-520-60X,Journal of Clinical Medicine,2020-02-25,0.1,
81-0.01,Old,225-0.01,,Positive RT-PCR Test Results in Patients Recovered From COVID-19,0.01,002-190-391-864-052,JAMA,2020-03-05,0.1,
82-0.01,Old,226-0.01,,Bcl-xL inhibits T-cell apoptosis induced by expression of SARS coronavirus E protein in the absence of growth factors.,0.01,078-770-953-062-237,The Biochemical journal,2018-05-12,0.1,
83-0.01,New,227-0.01,,Factors Associated With Mental Health Outcomes Among Health Care Workers Exposed to Coronavirus Disease 2019,0.01,165-155-344-724-345,JAMA Network Open,2020-03-27,0.1,
84-0.01,Old,228-0.01,,2019 Novel Coronavirus—Important Information for Clinicians,0.01,072-512-225-065-755,JAMA,2020-02-06,0.1,
85-0.01,Old,229-0.01,,Identification of a Severe Acute Respiratory Syndrome Coronavirus-Like Virus in a Leaf-Nosed Bat in Nigeria,0.01,036-777-631-727-521,Mbio,2018-05-12,0.1,
86-0.01,Old,230-0.01,,"MERS coronavirus: Diagnostics, epidemiology and transmission",0.01,043-583-211-795-307,Virology Journal,2018-05-12,0.1,
87-0.01,Old,231-0.01,,Real-Time Estimation of the Risk of Death from Novel Coronavirus (COVID-19) Infection: Inference Using Exported Cases,0.01,039-791-136-029-865,Journal of Clinical Medicine,2020-02-21,0.1,
88-0.01,Old,232-0.01,,Structural and functional characterization of MERS coronavirus papain-like protease,0.01,032-271-531-937-886,Journal of Biomedical Science,2018-05-12,0.1,
89-0.01,Old,233-0.01,,"Clinical course and outcomes of critically ill patients with SARS-CoV-2 pneumonia in Wuhan, China: a single-centered, retrospective, observational study",0.01,021-665-106-859-672,The Lancet Respiratory Medicine,2020-02-25,0.1,
90-0.01,Old,234-0.01,,Detection of Middle East respiratory syndrome coronavirus using reverse transcription loop-mediated isothermal amplification (RT-LAMP),0.01,127-810-380-205-366,Virology Journal,2018-05-12,0.1,
91-0.01,Old,235-0.01,,Presumed Asymptomatic Carrier Transmission of COVID-19,0.01,075-845-954-789-918,JAMA,2020-02-25,0.1,
92-0.01,Old,236-0.01,,The spike protein of SARS-CoV — a target for vaccine and therapeutic development,0.01,001-172-069-168-870,Nature Reviews Microbiology,2018-05-11,0.1,
93-0.01,Old,237-0.01,,Structure and intracellular targeting of the SARS-coronavirus Orf7a accessory protein.,0.01,091-053-247-617-214,Structure,2018-05-12,0.1,
94-0.01,Old,238-0.01,,In-vitro renal epithelial cell infection reveals a viral kidney tropism as a potential mechanism for acute renal failure during Middle East Respiratory Syndrome (MERS) Coronavirus infection,0.01,106-000-051-538-753,Virology Journal,2018-05-12,0.1,
95-0.01,Old,239-0.01,,SARS coronavirus: a new challenge for prevention and therapy,0.01,094-836-429-541-118,Journal of Clinical Investigation,2018-05-11,0.1,
96-0.01,Old,240-0.01,,"The spike-protein of the emerging betacoronavirus EMC uses a novel coronavirus receptor for entry, can be activated by TMPRSS2 and is targeted by neutralizing antibodies",0.01,025-246-608-570-632,Journal of Virology,2018-05-12,0.1,
97-0.01,Old,241-0.01,,Evaluation of Reverse Transcription-PCR Assays for Rapid Diagnosis of Severe Acute Respiratory Syndrome Associated with a Novel Coronavirus,0.01,011-308-829-798-625,Journal of Clinical Microbiology,2018-05-12,0.1,
98-0.01,Old,242-0.01,,"Replication of SARS coronavirus administered into the respiratory tract of African Green, rhesus and cynomolgus monkeys",0.01,020-540-127-927-325,Virology,2018-05-12,0.1,
981-0.01,Old,243-0.01,,Prediction of Intrinsic Disorder in MERS- CoV/HCoV-EMC Supports a High Oral-Fecal Transmission,0.01,029-874-974-042-998,PLOS Currents,2018-05-12,0.1,
982-0.01,Old,244-0.01,,Estimation of the Transmission Risk of the 2019-nCoV and Its Implication for Public Health Interventions,0.01,024-076-706-347-148,Journal of Clinical Medicine,2020-02-09,0.1,
983-0.01,Old,245-0.01,,Patients with RT-PCR Confirmed COVID-19 and Normal Chest CT,0.01,151-555-753-218-755,Radiology,2020-03-07,0.1,
984-0.01,Old,246-0.01,,Sensitivity of Chest CT for COVID-19: Comparison to RT-PCR,0.01,060-480-337-496-438,Radiology,2020-02-21,0.1,
985-0.01,Old,247-0.01,,"Human coronavirus NL63 infection and other coronavirus infections in children hospitalized with acute respiratory disease in Hong Kong, China.",0.01,088-388-879-348-055,Clinical Infectious Diseases,2018-05-12,0.1,
986-0.01,Old,248-0.01,,A novel coronavirus outbreak of global health concern,0.01,011-919-504-186-623,The Lancet,2020-01-26,0.1,
987-0.01,Old,249-0.01,,CD209L (L-SIGN) is a receptor for severe acute respiratory syndrome coronavirus,0.01,031-548-667-280-855,Proceedings of the National Academy of Sciences of the United States of America,2018-05-12,0.1,
